,osmanlica,turkce
125,ابريج,ibric
126,ابریز,ibriz
127,ابريسم,ibrisem
128,ابریشم,ibrişim
129,ابريق,ibrik
130,آبزن,ebzen
131,ابس,ibs
132,ابساء,ebsae
133,ابساك,ibsek
134,ابزار,ebzar
135,آبسوار,eysuvar
136,ابشار,ibşar
137,ابشاش,ibşaş
138,ابصار,ibsar
139,ابصاص,ibsas
140,ابصع,ebsağ
141,ابصاع,ibsağ
142,ابط,ibed
143,ابطيه,ibtiyya
144,ابطاء,ibda
145,ابطار,ebdar
146,ابطاش,ibdaş
147,ابطال,ibdal
148,ابطان,ibdan
149,ابظاظ,ibzaz
150,ابعاد,ebade
151,ابعاد,ibad
152,ابعار,ibar
153,ابعد,ebad
154,ابغاء,ibğa
155,ابغاض,ibğaz
156,ابغض,ebğaz
157,ابق,ebeg
158,ابقاء,ibga
159,ابقال,ibgal
160,ابقان,ibgan
161,ابكاء,ibkae
162,ابكار,ebkar
163,ابكار,İbkâr
164,ابكم,Ebkem
165,ابكون,Âbgûn
166,ابگونه,Âbgûne
167,ابگير,Âbgîr
168,ابگينه,Âbgîne
169,ابل,İbil
170,ابلاء,İblâ
171,ابلاد,İblâd
172,ابلاط,İblât
173,ابلاع,İbla'
174,ابلاع,İblâğ
175,ابلام,İblam
176,ابلاه,İblâh
177,ابلد,Ebled
178,ابلج,Eblec
179,ابلغ,Ebleğ
180,ابلق,Eblak
181,ابله,Ebleh
182,ابله,Âble
183,ابلهانه,Eblehâne
184,ابلهی,Eblehî
185,ابلهيت,Eblehiyyet
186,ابلیس,İblîs
187,ابن,İbn
188,ابناء,Ebnâ'
189,ابنمخاض,İbnMehâd
190,ابناء,İbnâ'
191,ابناءالدهالیز,Ebnâu'd    Dehâlîz
192,ابناس,İbnâs
193,ابنالسبیل,İbni's    Sebîl
194,ابنوس,Âbenûs
195,ابنيه,Ebniye
196,ابو,Ebû
197,ابواء,Ebvâ'
198,ابوالبشر,Ebu'l    Beşer
199,ابوحنیفه,EbuHanîfe
200,ابواب,Ebvâb
201,ابوال,Ebvâl
202,ابوبه,Ebvibe
203,ابوت,Ubuvvet
204,ابود,Ubûd
205,ابه,Ebeh
206,ابهاء,İbhâ'
207,ابهاج,İbhâc
208,ابهام,İbhâm
209,ابهة,Ebheh
210,ابهر,Ebher
211,ابهام,İbhâm    ıKadem
212,ابهاميد,İbhâm    ıYed
213,ابهل,Ebhel
214,ابهم,Ebhem
215,ابی,Ebî
216,ابيات,Ebyât
217,ابيار,Âbyâr
218,آبياری,Âbyârî
219,ابيد,Ebyed
220,ابيض,Ebyad
221,اتابك,Atâbey
222,اتاحه,İtâha
223,اتاره,İtâra
224,اتاوه,İtâve
225,اتباب,İtbâb
226,اتباع,İtbâa
227,اتباع,İttibâa
228,اتباع,Etbâa
229,اتجاه,İtticâh
230,اتحاد,İttihâd
231,اتحاف,İthâf
232,اتحال,İttihâl
233,اتخاذ,İttihâz
234,اتراب,Etrâb
235,اتراك,Etrâk
236,اتراك,İttirâk
237,اتربه,Etrube
238,اتساخ,İttisâh
239,اتساع,İttisâ'
240,اتشاح,İttişâh
241,اتساق,İttisâk
242,آتش,Âteş
243,آتشتاب,Âteştâb
244,آتشخانه,Âteşhâne
245,آتشپرست,Âteşperest
246,آتشدان,Âteşdân
247,آتشگاه,Âteşgâh
248,آتشكده,Âteşkede
249,آتشبناك,Âteşnâk
250,آتشی,Âteşî
251,آتشيان,Âteşiyân
252,آتشتين,Âteşetîn
253,اتصاف,İttisâf
254,اتصال,İttisâl
255,اتضاح,İttidâh
256,اتضاع,İttidâ'
257,اتطاء,İttidâa
258,اتطان,İttidân
259,اتعاب,İtti'âb
260,اتعاد,İttiâ'd
261,اتعاس,İttiâ's
262,اتعاظ,İttiâ'z
263,اتفاد,İttifâd
264,اتفاق,İttifâk
265,اتفاقا,İttifâken
266,اتفاقات,İttifâkât
267,اتفاقپذير,İttifâkpezîr
268,اتفاقی,İttifâkî
269,اتقاء,İttikâ
270,اتقاد,İttikâd
271,اتقار,İttigâr
272,اتقان,İttigân
273,اتقياء,Etkıyâ
274,اتكاء,İttikâ
275,اتكار,İttikâr
276,اتكا,İttikâ'
277,اتكال,İttikâl
278,اتلاء,İttilâ
279,اتلاج,İttilâc
280,اتلاد,İttilâd
281,اتلاع,İttilâ'
282,اتلاف,İttilâf
283,اتلال,İttilâl
284,اتم,Etim
285,اتم,Etem
286,اتم,Etemm
287,اتمام,İtmâm
288,اتنان,İtnân
289,اتواء,İttivâ
290,اتهاب,İttihâb
291,اتهال,İttihâl
292,اتهام,Ethâm
293,اتهام,İthâm
294,اتهامنامه,İthâmnâme
295,آتی,Âtî
296,اتيان,İtyân
297,اتيا,Etyâ
298,اترجه,Ütrücce
299,آتشافروزن,Âteşefrûzen
300,آتشبجان,Âteşbecân
301,آتشپارسی,Âteşpârsî
302,آتشبهار,Âteşbehâr
303,آتشیيادقا,Âteşbîyâd
304,آتشتر,Âteşter
305,اثائة,İsâe
306,اثابة,İsâbe
307,اثاث,Esâs
308,اثاثی,Üsâsî
309,اثار,Âsâr
310,آثار,Esâr
311,اثارة,İsâra
312,اثالة,Asâlet
313,آثام,Âsâm
314,اثام,Essâm
315,اثاوة,İsâve
316,اثابة,İsbât
317,اثباط,İsbât
318,اثر,Eser
319,اثر,İsr
320,اثر,Üsür
321,اثراء,İsrâ
322,اثراد,İssirâd
323,اثرام,Isrâm
324,اثرب,Esrib
325,اثرم,Esrem
326,اثرطرار,Esertirâz
327,اثط,Est
328,اثعار,İs'âr
329,اثغار,İsğâr
330,اثغار,Esğâr
331,اثفال,İsgâl
332,اثفان,İsfân
333,اثقاب,İsgâb
334,اثقاف,İsgâf
335,اثقال,Esgâl
336,اثقال,İsgâl
337,اثفار,İsfâr
338,اثقاب,Eskâb
339,اثقل,Eskal
340,اِثلاث,İslâs
341,اثلاث,Eslâs
342,اِثلاج,İslâc
343,اِثلب,Esleb
344,اثم,İsm
345,اثم,Esem
346,اثمار,Esmâr
347,اثمار,İsmâr
348,اثمان,Esmân
349,اثجر,Escer
350,اثمن,Esmen
351,اثناء,Esnâ
352,اثناء,İsnâ
353,اثنان,İsnân
354,اثناعشر,İsnâaşer
355,اثناء,İssinâ
356,اثنین,İsneyn
357,اثنينیتت,İsneyniyyet
358,اثنيه,Esniye
359,اثتو,Esev
360,اثواء,İsvâ
361,اثواب,Esvâb
362,اثواب,İsvâb
363,اثول,Esvel
364,اثوم,Esûm
365,اثءيار,İsâr
366,اثیر,Esîr
367,اثیم,Esîm
368,اجاب,İcâb
369,اجابة,İcabet
370,اجاثة,İcâse
371,اجاحة,İcâha
372,اجادة,İcâde
373,آجار,Âcâr
374,اجارة,İcâra
375,اجارۀزمین,İcâre    iZemîn
376,اجارۀمضاقه,İcâre    iMuzafe
377,اجارۀ لازمه,İcâre    iLâzime
378,اجارۀ منجزه,İcâre    iMünecceze
379,اجازة,Icazet
380,اجازتفعليه,İcâzâtiFiiliyye
381,اجازتقولية,İcâzâtiKavliyye
382,اجازتلاحقه,İcâzâtiLâhika
383,اجاص,İccâs
384,اجاعة,İcâ'a
385,اجال,Âcâl
386,اجالة,İcâle
387,اجام,Âcâm
388,اجامره,İcâmira
389,اجانب,Ecânib
390,اجبار,İcbâr
391,اجبال,Ecbâl
392,اجبان,İcbân
393,اجتباء,İctibâ
394,اجتراء,İctirâ
395,اجتراح,İctirâh
396,اجترار,İctirâr
397,اجتراع,İctirâ'
398,اجتزاء,İctizâ
399,اجتزاز,İctizâz
400,اجترام,İctirâm
401,اجتزاع,İctizâ'
402,اجتزاف,İctizâf
403,اجتزام,İctizâm
404,اجتسار,İctisâr
405,اجتساس,İctisâs
406,اجتصاص,İctisâs
407,اجتفاء,İctifâ
408,اجتلاء,İctilâ
409,اجتلال,İctilâl
410,اجتمار,İctimâr
411,اجتماع,İctimâ'
412,اجتمال,İctimâl
413,اجتناء,İctinâ
414,اجتناب,İctinâb
415,اجتناح,İctinâh
416,اجتواء,İctivâ
417,اجتوار,İctivâr
418,اجتهاد,İctihâd
419,اجتهار,İctihâr
420,اجتهال,İctihâl
421,اجتياف,İctiyâf
422,اجتيال,İctiyâl
423,اجثاء,İcsâ
424,اججاح,İchâh
425,اجحاف,İchâf
426,اجداء,İcdâ
427,اجداب,İcdâb
428,اجداث,Ecdâs
429,اجداد,Ecdâd
430,اجداف,İcdâf
431,اجدان,İcdân
432,اجذار,İczâr
433,اجذال,Eczâl
434,اجذال,İczâl
435,اجذام,İczâm
436,اجر,Ecir
437,آجر,Âcir
438,اجراء,İcrâ
439,اجراب,İcrâb
440,اجراح,Ecrâh
441,اجراذ,İcrâz
442,اجرار,İcrâr
443,اجراز,Ecrâz
444,اجراس,Ecrâs
445,اجراص,İcrâs
446,اجرام,Ecrâm
447,اجرام,İcrâm
448,اجرت,Ücret
449,اجريه,Ecriye
450,اجرد,Ecred
451,اجرمثل,EcriMisil
452,اجرمسمی,Ecr    iMüsemma
453,اجزاء,Eczâ
454,اجزاء,İczâ
455,اجزال,İczâl
456,اجزم,Eczem
457,اجساد,Ecsâd
458,اجسام,Ecsâm
459,اجسامدسمه,Ecsâm    ıDesme
460,اجسم,Ecsem
461,اجشاش,İcşâş
462,اجشام,İcşâm
463,اجعاظ,İc'âz
464,اجعاف,İc'âf
465,اجعال,İc'âl
466,اجعب,Ec'ab
467,اجفار,İcfâr
468,اجفان,Ecfân
469,اجفان,İcfân
470,اجل,Ecel
471,اجل,Ecil
472,اجل,İcil
473,اجل,Ecell
474,اجلاء,İclâ
475,اجلا,Âcilen
476,اجلاء,Ecillâ
477,اجلاب,İclâb
478,اجلاد,Eclâd
479,اجلاد,İclâd
480,اجلاس,İclâs
481,اجلاف,Eclâf
482,اجلال,İclâl
483,اجلواذ,İclivvâz
484,اجلاء,Eclâ
485,اجله,Ecille
486,اجلی,Eclâ
487,اجماد,Ecmâd
488,اجماد,İcmâd
489,اجماع,İcmâ'
490,اجمال,Ecmâl
491,اجمال,İcmâl
492,اجمالا,İcmâlen
493,اجمل,Ecmel
494,اجمه,Ecme
495,اجتاء,İctâ
496,اجناب,Ecnâb
497,اجناب,İcnâb
498,اجناح,İcnâh
499,اجناف,İcnâf
500,اجناد,Ecnâd
501,اجناس,Ecnâs
502,اجنان,İcnân
503,اجنبی,Ecnebî
504,اجنبيه,Ecnebiyye
505,اجنه,Ecinne
506,اجنحه,Ecniha
507,اجنی,Ecinnî
508,اجواد,Ecvâd
509,اجواد,İcvâd
510,اجوث,Ecves
511,اجوار,Ecvâr
512,اجواز,Ecvâz
513,اجوب,Ecveb
514,اجوبه,Ecvibe
515,اجود,Ecved
516,اجور,Ucûr
517,اجوف,Ecvef
518,اجهار,İchâr
519,اجهاز,İchâz
520,اجهاض,İchâd
521,اجهز,Echüz
522,اجهل,Echel
523,اجياد,Ecyad
524,اجياف,Ecyâf
525,اجيال,Ecyâl
526,اجيد,Ecyed
527,اجير,Ecîr
528,اجيرخاص,Ecîr    iHâs
529,اجيرمشترك,Ecîr    iMüşterek
530,اجیل,Ecil
531,اجیم,Ecîm
532,احابش,Ehâbiş
533,احاجی,Ehâcî
534,احاد,Âhâd
535,احاداحاد,UhâdUhâd
536,احادیث,Ehâdîs
537,احاسن,Ehâsin
538,احاشة,İhâşe
539,احاطة,İhâta
540,احاقة,İhâka
541,احاكة,İhâke
542,احالة,İhâle
543,احانة,İhâne
544,احب,Ehabb
545,احباء,Ahbâ
546,احباء,Ehibbâ
547,احباب,Ahbâb
548,احباب,İhbâb
549,احباج,İhbâc
550,احبار,İhbâr
551,احبار,Ehbâr
552,احباس,İhbâs
553,احباص,İhbâs
554,احباط,İhbât
555,احباق,İhbâk
556,احبال,İhbâl
557,احبل,Ehbel
558,احبن,Ehben
559,احتاء,İhtâ
560,احتباء,İhtibâ
561,احتباس,İhtibâs
562,احتباسبول,İhtibâs    ıBevl
563,احتباك,İhtibâk
564,احتبال,İhtibâl
565,احتجاب,İhticâb
566,احتجاج,İhticâc
567,احتجار,İhticâr
568,احتجاز,İhticâz
569,احتجاف,İhticâf
570,احتجام,İhticâm
571,احتداد,İhtidâd
572,احتداء,İhtizâ
573,احتذار,İhtizâr
574,احتراب,İhtirâb
575,احتراث,İhtirâs
576,احتراز,İhtirâz
577,احتراس,İhtirâs
578,احتراص,İhtirâs
579,احتراف,İhtirâf
580,احتراق,İhtirâk
581,احترام,İhtirâm
582,احتساء,İhtisâ
583,احتساب,İhtisâb
584,احتسابيه,İhtisâbiyye
585,احتشاء,İhtişâ
586,احتشاب,İhtişâb
587,احتشاد,İhtişâd
588,احتشار,İhtişâr
589,احتشاش,İhtişâş
590,احتشام,İhtişâm
591,احتصاد,İhtisâd
592,احتضاء,İhtizâ
593,احتضار,İhtidâr
594,احتضاض,İhtidâd
595,احتضان,İhtidân
596,احتطاب,İhtidâb
597,احتطاط,İhtitâd
598,احتظاء,İhtizâ
599,احتظاظ,İhtizâz
600,احتفاء,İhtifâ
601,احتفاد,İhtifâd
602,احتفار,İhtifâr
603,احتفاظ,İhtifâz
604,احتفاف,İhtifâf
605,احتقاب,İhtikâb
606,احتقار,İhtikâr
607,احتقاق,İhtikâk
608,احتقان,İhtikân
609,احتقاندم,İhtikân    ıDem
610,احتكاء,İhtikâ
611,احتكار,İhtikâr
612,احتكاك,İhtikâf
613,احتكال,İhtikâl
614,احتكام,İhtikâm
615,احتلاس,İhtilâs
616,احتلاب,İhtilâb
617,احتلاط,İhtilât
618,احتلاق,İhtilâk
619,احتلام,İhtilâm
620,احتمار,İhtimâr
621,احتماء,İhtimâ
622,احتمال,İhtimâl
623,احتمالاتوهميه,İhtimâlât    ıVehmiyye
624,احتمام,İhtimâm
625,احتوا,İhtivâ
626,احتيواش,İhtîvâş
627,احتوال,İhtivâl
628,احتياج,İhtiyâc
629,احتياز,İhtiyâz
630,احتياط,İhtiyât
631,احتياطا,İhtiyâden
632,احتيال,İhtiyâl
633,احجاب,Ehcâb
634,احجاج,İhcâc
635,احجار,Ahcâr
636,احجاز,İhcâz
637,احجام,İhcâm
638,احجوه,Uhcuvve
639,احجيه,Uhciyye
640,احتد,Ehad
641,احد,Ehadd
642,احدالاحدين,Ehadu'l    Ehadeyn
643,احدالاحاد,Ehadu'l    Âhâd
644,احد,Uhud
645,احداء,İhdâ
646,احداب,İhdâb
647,احداث,Ehdâs
648,احداث,İhdâs
649,احداد,İhdâd
650,احداق,Ehdâk
651,احدب,Ehdeb
652,احدهما,Ehaduhumâ
653,احدی,İhdâ
654,احدیعشر,İhdâaşer
655,احديت,Ehadiyyet
656,احذاء,İhzâ
657,احذيرار,İhzîrâr
658,احر,Eharr
659,اچرا,Ehrâ
660,احراء,İhrâ
661,احراب,İhrâb
662,احراج,İhrâc
663,احراد,İhrâd
664,احرار,Ahrâr
665,احراز,İhrâz
666,احراق,İhrâk
667,احرام,İhrâm
668,احرام,Ahrâm
669,احرد,Ehrad
670,احزاب,Ahzâb
671,احزام,Ahzâm
672,احزان,Ahzân
673,احزان,İhzân
674,احزم,Ehzem
675,احساب,İhsâb
676,احساس,İhsâs
677,احسان,İhsân
678,احسب,Ehseb
679,احسن,Ahsen
680,احشاء,Ehşâ
681,احشاب,İhşâb
682,احشاد,İhşâd
683,احشاش,İhşâş
684,احشام,Ahşâm
685,احصاء,İhsâ
686,احصاد,İhsâd
687,احصار,İhsâr
688,احصاص,İhsâs
689,احصاق,İhsâf
690,احصان,İhsân
691,احضار,İhdâr
692,احضاب,İhdâb
693,احضان,İhdân
694,احظ,Ehazz
695,احظاظ,İhzâz
696,احفاد,Ahfâd
697,احفاد,İhfâd
698,احفاق,İhfâk
699,احق,Ehakk
700,احقاد,İhkâd
701,احقاد,Ehkâd
702,احقار,İhtikâr
703,احقاق,İhkâk
704,احقر,Ehkar
705,احكاك,İhkâk
706,احكال,İhkâl
707,احكام,İhkâm
708,احكام,Ahkâm
709,احكم,Ehkem
710,احلاء,İhlâ
711,احلا,Ahlâ
712,احلاب,İhlâb
713,احلاس,İhlâs
714,اخلاف,İhlâf
715,اخلام,Ahlâm
716,احلیل,İhlîl
717,احماء,İhmâ
718,احماد,İhmâd
719,احماض,İhmâd
720,احماق,İhmâk
721,احمال,İhmâl
722,احمال,Ahmâl
723,احمام,İhmâm
724,احمد,Ahmed
725,احمر,Ahmer
726,احمرار,İhmirâr
727,احمق,Ahmak
728,احمیرار,İhmîrâr
729,احن,İhan
730,احناق,İhnâk
731,احنة,İhne
732,احواج,İhvâc
733,احواض,Ahvâd
734,احوال,Ahvâl
735,احوج,Ehvec
736,احوط,Ahved
737,احول,Ehvel
738,احياء,Ahyâ
739,احياء,İhyâ
740,احياء,İhyâ    ıMevat
741,احياز,Ahyâz
742,احيان,Ahyân
743,احيان,İhyân
744,احيانا,İhyânen
745,اخ,Eh
746,اخابير,Ahâbîr
747,اخاذه,İhâze
748,اخافة,İhâfe
749,اخالة,İhâle
750,اخامة,İhâme
751,اخاوة,İhâve
752,اخباء,İhbâ
753,اخبات,İhbât
754,اخباث,İhbâs
755,اخبار,İhbâr
756,اخبار,Ahbâr
757,اخبارنامه,İhbârnâme
758,اخباری,İhbârî
759,اخباريه,İhbâriyye
760,اخبيه,Ehbiye
761,اخبت,Uht
762,اختاء,İhtâ
763,اختات,İhtât
764,اختباء,İhtibâ
765,اختبار,İhtibâr
766,اختباز,İhtibâz
767,اختباس,İhtibâs
768,اختتال,İhtitâl
769,اختتام,İhtitâm
770,اختتان,İhtitân
771,اختدار,İhtidâr
772,اختداع,İhtidâ'
773,اختدام,İhtidâm
774,اختراش,İhtirâş
775,اخثتر,Ehter
776,اختراع,İhtirâ'
777,اختراق,İhtirâk
778,اختزام,İhtizâm
779,اختشاب,İhtişâb
780,اختشاع,İhtişâ'
781,اختصار,İhtisâr
782,اختصاص,İhtisâs
783,اختصام,İhtisâm
784,اختضاب,İhtidâb
785,اختضار,İhtidâr
786,اختضاع,İhtidâ'
787,اختطاب,İhtidâb
788,اختطاط,İhtitâd
789,اختطاف,İhtitâf
790,اختفاء,İhtifâ
791,اختفاض,İhtifâd
792,اخثتلاء,İhtilâ
793,اختلاب,İhtilâb
794,اختلاج,İhtilâc
795,اختلاس,İhtilâs
796,اختلاط,İhtilâd
797,اختلاع,İhtilâ'
798,اختلاف,İhtilâf
799,اختلاق,İhtilâk
800,اختلال,İhtilâl
801,اختمار,İhtimâr
802,اختناق,İhtinâk
803,اختناقرحم,İhtinâk    ıRahim
804,اختواء,İhtivâ
805,اختيار,İhtiyâr
806,اختياری,İhtiyârî
807,اختياط,İhtiyât
808,اختيان,İhtiyân
809,اخثار,İhsâr
810,احجال,İhcâl
811,اخدار,İhdâr
812,اخداع,İhdâ'
813,اخدام,İhdâm
814,اخدان,Ahdân
815,اخدع,Ahda'
816,اخدود,Uhdûd
817,اخذ,Ehz
818,اخذاء,İhzâ
819,اخذام,İhzâm
820,آخر,Âhar
821,آخر,Âhir
822,آخرب,Ahreb
823,اخراج,İhrâc
824,اخراد,İhrâd
825,اخرار,İhrâr
826,اخراس,İhrâs
827,اخراف,İhrâf
828,اخراق,İhrâk
829,اخربين,Âhirbîn
830,آخرت,Âhiret
831,آخرج,Ahrec
832,اخرس,Ahres
833,اخرم,Ahrem
834,اخرمی,Ahremî
835,اخروی,Uhrevî
836,اخری,Uhrâ
837,آخرين,Âhirîn
838,اخراء,İhzâ
839,اخزن,İhzân
840,اخزی,Ahzâ
841,اخسن,Ehass
842,اخساء,İhsâ
843,اخسار,İhsâr
844,اخساس,İhsâs
845,اخشاب,Ahşâb
846,اخشاع,İhşâ'
847,اخشب,Ahşeb
848,اخشن,Ahşen
849,اخشی,Ahşâ
850,اخص,Ehass
851,اخصاء,İhsâ
852,اخصاف,İhsâf
853,اخضاع,İhdâ'
854,اخضر,Ahdar
855,اخضع,Ahda'
856,اخطاء,İhdâ
857,اخطار,İhtâr
858,اخطار,Ahtâr
859,اخطاف,İhtâf
860,اخظاء,İhzâ
861,اخفاء,İhfâ
862,اخفاف,İhfâf
863,اخفيه,Ahfiye
864,اخكر,Ahker
865,اخلاء,İhlâ
866,اخلاء,Ehillâ
867,اخلاب,Ahlâb
868,اخلاد,İhlâd
869,اخلاص,İhlâs
870,اخلاصمتيد,İhlâsmend
871,اخلاط,Ahlât
872,اخلاف,Ahlâf
873,اخلاق,Ahlâk
874,اخلال,İhlâl
875,اخلص,Ahles
876,اخمار,İhmâr
877,اخماس,Ahmâş
878,اخمال,İhmâl
879,اخمص,Ahmes
880,اخمع,Ahme'
881,اخناء,İhnâ
882,اخناب,İhnâb
883,اخناس,İhnâs
884,اخناع,İhnâ'
885,اخنس,Ahnes
886,اخوات,Ahavât
887,اخوان,İhvân
888,اخوت,Uhuvvet
889,آخسور,Âhûr
890,اخوف,Ahvef
891,اخيار,Ahyâr
892,اخياف,Ahyâf
893,اخيال,Ahyâl
894,اخيام,İhyâm
895,اخير,Ahyer
896,اخير,Ahîr
897,اخاخ,AhAh
898,اخريط,Ahrît
899,اخربان,Âhirbân
900,اخسمه,Ahsume
901,اداء,Edâ
902,آداب,Âdâb
903,اداءة,İdâe
904,آدات,Edât
905,اداره,İdâre
906,ادالة,İdâle
907,ادام,İdâm
908,ادامالله,Edâmellâh
909,ادامه,İdâme
910,ادانه,İdâne
911,ادانی,Edânî
912,اداوه,İdâve
913,ادب,Edeb
914,ادباء,Udebâ
915,ادبار,İdbâr
916,ادباق,İdbâk
917,ادبانه,Edebâne
918,ادبنی,Edebî
919,ادبيات,Edebiyyât
920,ادثار,İddisâr
921,ادخار,İdhâr
922,ادخار,İddihâr
923,ادخال,İdhâl
924,ادخال,İddihâl
925,ادخان,İdhân
926,ادخنه,Edhine
927,ادر,Âder
928,ادراء,İdrâ
929,ادراء,İddirâ
930,ادراج,İdrâc
931,ادرار,İdrâr
932,ادراس,İdrâs
933,ادراك,İdrâk
934,ادراك,İddirâk
935,ادره,Üdre
936,ادساف,İdsâf
937,ادسام,İdsâm
938,ادسم,Edsem
939,ادعاء,İd'âa
940,ادعاء,İddaa
941,ادعام,İddi'âm
942,آدعيه,Ed'iye
943,ادغام,İdğâm
944,ادغام,İddiğâm
945,ادفان,İdfân
946,ادفان,Edfân
947,ادفع,Edfâ'
948,ادق,Edakk
949,ادقاق,İdkâk
950,ادكار,İddikâr
951,ادلاء,İdlâ
952,ادلال,İdlâl
953,آدم,Âdem
954,ادماء,İdmâ
955,ادماج,İdmâc
956,ادماج,İddimâc
957,ادماق,İdmâk
958,آدمان,Âdemân
959,ادمان,İdmân
960,ادمانبدن,İdmân    ıBeden
961,ادمع,Edmu'
962,ادمغه,Edmiğa
963,ادمه,Edeme
964,آدمی,Âdemî
965,آدميان,Âdemiyyân
966,آدميت,Âdemiyyet
967,ادناء,İdnâ
968,ادناف,İdnâf
969,ادناس,Ednâs
970,ادنی,Ednâ
971,ادواء,Edvâ
972,ادواء,İdvâ
973,ادوات,Edevât
974,ادوار,Edvâr
975,ادويه,Edviye
976,ادهاش,İdhâş
977,ادهان,Edhân
978,ادهان,İdhân
979,ادهان,İddihân
980,ادهار,Edhâr
981,ادهم,Edhem
982,ادهی,Edhâ
983,ادهية,Edhiye
984,اديان,Edyân
985,اديان,İddiyân
986,ادیب,Edîb
987,اديم,Edîm
988,ادیمی,Edîmî
989,اذاء,Ezâ
990,اذابة,İzâbe
991,اذاحة,İzâha
992,اذارة,İzâra
993,اذاعة,İzâ'a
994,اذاقة,İzâga
995,اذالة,İzâle
996,آذان,Âzân
997,اذان,Ezân
998,اذاحاج,İzhâc
999,اذخال,Ezhâl
1000,اذخار,İzhâr
1001,اذخار,Ezhâr
1002,آذر,Âzer
1003,اذراء,İzrâ
1004,اذراع,İzrâ'
1005,آذرپرست,Âzerperest
1006,آذركده,Âzerkede
1007,اذعاج,İz'âc
1008,اذعان,İz'ân
1009,اذفر,Ezfer
1010,اذكاء,İzkâ
1011,اذكار,Ezkâr
1012,اذكار,İzkâr
1013,اذكی,Ezkâ
1014,اذكياء,Ezkiyâ
1015,اذل,Ezell
1016,اذلاء,Ezillâ
1017,اذلال,İzlâl
1018,اذلة,Ezille
1019,اذمام,İzmâm
1020,اذن,İzin
1021,اذن,Üzün
1022,اذناب,Eznâb
1023,اذناب,İznâb
1024,اذواق,Ezvâk
1025,اذهاب,İzhâb
1026,اذهال,İzhâl
1027,اذهان,İzhân
1028,اذهان,Ezhân
1029,اذی,Âzî
1030,اذيال,Ezyâl
1031,اذيت,Eziyyet
1032,اذين,Ezîn
1033,آذرافزا,Âzerefzâ
1034,آزربو,Âzerbû
